	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
state19	-0.0010***	0.0008***	0.0004	-0.0013***	0.0004	0.0003	-0.0015***	-0.0012**	-0.0010*	0.0007	0.0049	0.0085	0.0109	0.0104	0.0141	0.0234	0.0295	0.0415	0.0317	0.0410
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.004)	(0.007)	(0.009)	(0.010)	(0.016)	(0.026)	(0.032)	(0.047)	(0.034)	(0.057)
state20	-0.0010***	0.0009***	0.0013***	0.0006	0.0026***	0.0024***	0.0013*	0.0004	0.0004	0.0006	0.0021**	0.0010	0.0025*	0.0012	-0.0007	-0.0013	-0.0025	-0.0079	0.0006	-0.0156
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)	(0.004)	(0.005)	(0.007)	(0.005)	(0.010)
state21	-0.0019***	-0.0001	-0.0002	-0.0002	0.0010	0.0009**	0.0027***	0.0017***	0.0004	0.0019**	0.0049***	0.0047***	0.0087***	0.0101***	0.0086***	0.0090***	0.0127***	0.0186***	0.0236***	0.0180***
	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.004)	(0.004)	(0.005)
state22	-0.0006	0.0021***	0.0016***	-0.0008	0.0010	0.0021***	0.0001	-0.0007	-0.0003	-0.0002	0.0017	0.0011	0.0017	-0.0003	-0.0053*	-0.0086**	-0.0081	-0.0146*	-0.0041	-0.0245**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)	(0.004)	(0.006)	(0.008)	(0.005)	(0.010)
state23	-0.0038***	0.0006***	0.0013***	0.0001	-0.0016***	0.0013***	0.0052***	0.0035***	0.0001	0.0036***	0.0082***	0.0088***	0.0147***	0.0181***	0.0153***	0.0146***	0.0199***	0.0314***	0.0361***	0.0241***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)	(0.002)	(0.004)
state24	-0.0019***	0.0003***	0.0001	-0.0021***	-0.0012***	-0.0002	-0.0006	-0.0001	-0.0012***	0.0014**	0.0036***	0.0037***	0.0060***	0.0070***	0.0062***	0.0059***	0.0078***	0.0115***	0.0132***	0.0083*
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.005)
state25	-0.0024**	-0.0006***	-0.0003	-0.0020***	-0.0029***	-0.0016***	0.0003	0.0001	-0.0009***	0.0016	0.0039*	0.0048*	0.0070	0.0073	0.0039	0.0024	0.0028	0.0070	0.0126	0.0032
	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.002)	(0.002)	(0.000)	(0.001)	(0.002)	(0.003)	(0.005)	(0.006)	(0.006)	(0.007)	(0.009)	(0.015)	(0.015)	(0.015)
state26	-0.0012***	0.0002	-0.0003	-0.0033***	-0.0021***	-0.0010*	-0.0029***	-0.0018***	-0.0026***	-0.0009	0.0009	0.0007	0.0014	0.0010	0.0011	0.0018	0.0037	0.0078	0.0086	0.0130
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.005)	(0.006)	(0.008)	(0.014)	(0.010)	(0.025)
state27	-0.0014***	0.0010***	0.0009**	-0.0011**	-0.0025***	-0.0010**	-0.0007	0.0005	0.0007	0.0020***	0.0036***	0.0018	0.0003	-0.0015	-0.0086**	-0.0137**	-0.0171**	-0.0271**	-0.0170**	-0.0466***
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)	(0.004)	(0.006)	(0.007)	(0.011)	(0.008)	(0.015)
Constant	0.0005***	-0.0008***	-0.0001	0.0039***	0.0025***	0.0019***	0.0058***	0.0049***	0.0044***	0.0029***	0.0020***	0.0018***	0.0026***	0.0072***	0.0087***	0.0091***	0.0113***	0.0136***	0.0099***	0.0187***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)	(0.002)	(0.005)
																				
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.247	0.359	0.332	0.382	0.467	0.557	0.520	0.516	0.331	0.594	0.393	0.322	0.405	0.487	0.400	0.337	0.304	0.235	0.196	0.132
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
