	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
state19	0.1326***	-0.0501*	-0.0500	-0.0013	0.0860*	0.1034**	0.1125**	0.1449***	0.1848***	0.1719***	0.2087***	0.2034***	0.1940***	0.1806***	0.2024***	0.2260***	0.1807***	0.1018*
	(0.020)	(0.026)	(0.030)	(0.039)	(0.044)	(0.049)	(0.050)	(0.054)	(0.056)	(0.056)	(0.057)	(0.055)	(0.056)	(0.055)	(0.057)	(0.052)	(0.056)	(0.056)
state20	0.0969***	-0.0497**	-0.0226	0.0142	0.0733*	0.0779**	0.0935**	0.1016**	0.0993**	0.0907**	0.1187***	0.1129***	0.0815*	0.0576	0.0670	0.0899*	0.0321	-0.0518
	(0.020)	(0.025)	(0.024)	(0.030)	(0.037)	(0.039)	(0.041)	(0.044)	(0.043)	(0.043)	(0.043)	(0.041)	(0.043)	(0.043)	(0.046)	(0.046)	(0.046)	(0.048)
state21	0.0495***	-0.0827***	-0.0882***	-0.0441	0.0207	0.0284	0.0297	0.0508	0.0439	0.0394	0.0859**	0.0841**	0.0722*	0.0598	0.0694*	0.0996***	0.0616	-0.0042
	(0.017)	(0.027)	(0.024)	(0.030)	(0.033)	(0.036)	(0.037)	(0.040)	(0.038)	(0.038)	(0.039)	(0.037)	(0.040)	(0.040)	(0.042)	(0.038)	(0.041)	(0.041)
state22	0.1034***	-0.0450	-0.0293	-0.0059	0.0603	0.0542	0.0449	0.0546	0.0718	0.0681	0.1191*	0.1159**	0.1026	0.0876	0.0861	0.1177*	0.0693	0.0084
	(0.028)	(0.036)	(0.039)	(0.046)	(0.048)	(0.052)	(0.057)	(0.060)	(0.062)	(0.062)	(0.063)	(0.058)	(0.063)	(0.066)	(0.067)	(0.067)	(0.071)	(0.068)
state23	0.0681***	-0.1043***	-0.1097***	-0.0819***	-0.0208	-0.0055	0.0110	0.0149	0.0404	0.0238	0.0651	0.0697*	0.0385	-0.0065	-0.0020	0.0300	-0.0246	-0.1058***
	(0.015)	(0.022)	(0.024)	(0.030)	(0.034)	(0.037)	(0.039)	(0.042)	(0.041)	(0.040)	(0.041)	(0.038)	(0.040)	(0.039)	(0.040)	(0.037)	(0.040)	(0.040)
