	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	(0.024)	(0.027)	(0.030)	(0.031)	(0.033)	(0.033)	(0.033)	(0.033)	(0.035)	(0.034)	(0.035)	(0.036)	(0.038)	(0.034)	(0.035)	(0.035)
state21	-0.0559**	-0.0304	0.0059	-0.0015	-0.0206	-0.0137	-0.0258	-0.0316	0.0133	0.0140	0.0083	-0.0044	0.0177	0.0407	0.0097	-0.0297
	(0.024)	(0.027)	(0.031)	(0.033)	(0.034)	(0.035)	(0.035)	(0.036)	(0.038)	(0.037)	(0.039)	(0.042)	(0.044)	(0.041)	(0.042)	(0.043)
state22	-0.0175	-0.0197	0.0142	-0.0137	-0.0529	-0.0589	-0.0502	-0.0555	-0.0065	-0.0071	-0.0105	-0.0243	-0.0071	0.0153	-0.0283	-0.0599
	(0.031)	(0.037)	(0.038)	(0.039)	(0.041)	(0.043)	(0.045)	(0.046)	(0.047)	(0.046)	(0.049)	(0.051)	(0.052)	(0.047)	(0.048)	(0.048)
state23	-0.0504**	-0.0491**	-0.0203	-0.0264	-0.0348	-0.0407	-0.0286	-0.0351	0.0061	0.0122	-0.0130	-0.0527*	-0.0332	-0.0085	-0.0563**	-0.1099***
	(0.020)	(0.022)	(0.024)	(0.024)	(0.025)	(0.025)	(0.025)	(0.026)	(0.027)	(0.026)	(0.027)	(0.028)	(0.030)	(0.027)	(0.027)	(0.028)
state24	0.0182	0.0114	0.0389	0.0356	0.0105	0.0126	0.0034	0.0027	0.0311	0.0406	0.0279	0.0107	0.0263	0.0673**	0.0290	-0.0113
	(0.020)	(0.022)	(0.024)	(0.024)	(0.025)	(0.025)	(0.025)	(0.025)	(0.027)	(0.027)	(0.027)	(0.028)	(0.029)	(0.026)	(0.027)	(0.028)
state25	0.0112	-0.0331*	0.0425**	0.0563***	0.0571***	0.0705***	0.0826***	0.0865***	0.1431***	0.1536***	0.1496***	0.1443***	0.1623***	0.1785***	0.1408***	0.0866***
	(0.027)	(0.017)	(0.021)	(0.020)	(0.020)	(0.021)	(0.022)	(0.021)	(0.025)	(0.026)	(0.023)	(0.023)	(0.024)	(0.022)	(0.023)	(0.022)
state26	-0.1226***	-0.1312***	-0.1275***	-0.1129***	-0.1087***	-0.1062***	-0.0646**	-0.0583*	-0.0194	-0.0261	-0.0185	-0.0147	0.0107	0.0324	0.0003	-0.0469
	(0.017)	(0.018)	(0.025)	(0.025)	(0.028)	(0.027)	(0.030)	(0.032)	(0.030)	(0.030)	(0.033)	(0.037)	(0.036)	(0.031)	(0.033)	(0.033)
state27	0.0630**	0.0298	0.0367	0.1671***	0.1041**	0.0024	-0.0103	-0.0085	0.0233	0.0096	0.0082	-0.0072	0.0036	0.0140	-0.0308	-0.0689*
	(0.030)	(0.033)	(0.036)	(0.039)	(0.041)	(0.041)	(0.042)	(0.043)	(0.045)	(0.044)	(0.044)	(0.044)	(0.046)	(0.039)	(0.040)	(0.039)
share_SOF_q2	-0.0017	-0.0022	0.0013	0.0099	0.0095	0.0044	0.0024	-0.0036	-0.0045	-0.0053	-0.0009	-0.0016	-0.0012	0.0012	0.0028	0.0060
	(0.012)	(0.012)	(0.013)	(0.015)	(0.015)	(0.017)	(0.017)	(0.016)	(0.016)	(0.015)	(0.017)	(0.017)	(0.018)	(0.018)	(0.019)	(0.020)
share_SOF_q3	0.0025	0.0107	0.0132	0.0258*	0.0249*	0.0213	0.0266	0.0232	0.0208	0.0217	0.0274	0.0244	0.0237	0.0246	0.0281	0.0307
	(0.010)	(0.012)	(0.015)	(0.015)	(0.014)	(0.016)	(0.017)	(0.017)	(0.018)	(0.017)	(0.020)	(0.020)	(0.021)	(0.021)	(0.022)	(0.023)
share_SOF_q4	-0.0026	-0.0002	0.0019	0.0009	-0.0050	-0.0095	-0.0137	-0.0233	-0.0282	-0.0216	-0.0178	-0.0184	-0.0084	-0.0099	-0.0076	-0.0019
	(0.015)	(0.017)	(0.019)	(0.021)	(0.021)	(0.022)	(0.022)	(0.022)	(0.023)	(0.022)	(0.023)	(0.023)	(0.023)	(0.023)	(0.025)	(0.025)
Constant	-0.1296***	-0.1828***	-0.2001***	-0.1942***	-0.2100***	-0.2027***	-0.2471***	-0.2446***	-0.3658***	-0.3573***	-0.3726***	-0.3690***	-0.3816***	-0.3837***	-0.3541***	-0.2917***
	(0.012)	(0.014)	(0.015)	(0.017)	(0.017)	(0.018)	(0.018)	(0.018)	(0.018)	(0.017)	(0.018)	(0.018)	(0.019)	(0.018)	(0.020)	(0.020)
																
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.336	0.354	0.306	0.283	0.280	0.276	0.301	0.318	0.368	0.396	0.428	0.495	0.490	0.512	0.537	0.543
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
