	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.4352	-0.5228	-1.0673**	-1.1570	-2.3410**	-2.2283**	-2.8010***	-3.0509***	-3.3925***	-3.7878***	-3.9951***	-4.2443***	-4.6922***	-4.6872***	-4.6144***	-4.4239***	-4.4977***	-4.5220***	-4.5369***
state15	0.0737	-0.0079	-0.0881	-0.2527	-0.1617	-0.4490	-0.2605	-0.1784	-0.0953	-0.0882	-0.1910	-0.1297	-0.1061	-0.0052	-0.0183	-0.0157	0.0466	-0.1199	-0.0714
	(0.074)	(0.130)	(0.131)	(0.264)	(0.312)	(0.343)	(0.321)	(0.327)	(0.315)	(0.288)	(0.253)	(0.250)	(0.272)	(0.233)	(0.214)	(0.214)	(0.214)	(0.209)	(0.219)
state16	0.0836	0.0053	0.0918	-0.1867	-0.0672	-0.3599	-0.2418	-0.1366	-0.0073	-0.0559	-0.1767	-0.0540	-0.0248	0.0789	0.0200	-0.0318	-0.0300	-0.1830	-0.2066
	(0.082)	(0.110)	(0.117)	(0.193)	(0.234)	(0.227)	(0.211)	(0.218)	(0.222)	(0.200)	(0.183)	(0.184)	(0.207)	(0.224)	(0.198)	(0.207)	(0.208)	(0.215)	(0.229)
state17	0.0047	-0.0595	0.0601	-0.2389	-0.0411	-0.3765	-0.2615	-0.1837	-0.1224	-0.1402	-0.2649	-0.2034	-0.1734	-0.1289	-0.1629	-0.2407	-0.2268	-0.4227**	-0.4842**
	(0.067)	(0.115)	(0.126)	(0.211)	(0.259)	(0.245)	(0.229)	(0.229)	(0.233)	(0.213)	(0.197)	(0.183)	(0.197)	(0.200)	(0.190)	(0.190)	(0.190)	(0.186)	(0.201)
state18	0.0095	0.0185	0.1495	-0.0013	0.1755	-0.2038	-0.1082	-0.0049	0.0684	0.0657	-0.0488	-0.0186	0.0402	0.1111	0.0771	-0.0159	-0.0260	-0.2223	-0.2902
	(0.064)	(0.117)	(0.116)	(0.253)	(0.294)	(0.300)	(0.287)	(0.286)	(0.277)	(0.272)	(0.261)	(0.251)	(0.252)	(0.267)	(0.275)	(0.281)	(0.286)	(0.290)	(0.296)
state19	0.0138	-0.0491	0.0876	-0.2351	0.0576	-0.3304	-0.1903	-0.1216	-0.0679	-0.0588	-0.1783	-0.0717	-0.0459	0.0012	-0.0064	-0.1073	-0.0977	-0.2818	-0.3514
	(0.071)	(0.119)	(0.138)	(0.253)	(0.291)	(0.287)	(0.271)	(0.274)	(0.279)	(0.254)	(0.242)	(0.235)	(0.245)	(0.248)	(0.247)	(0.251)	(0.257)	(0.252)	(0.269)
state20	0.0778	0.0251	0.0928	-0.2133	-0.0029	-0.3556	-0.2672	-0.2267	-0.1674	-0.1491	-0.2885	-0.2358	-0.1767	-0.1580	-0.1815	-0.2489	-0.2524	-0.4463**	-0.5310**
	(0.068)	(0.108)	(0.124)	(0.208)	(0.256)	(0.245)	(0.225)	(0.230)	(0.234)	(0.220)	(0.208)	(0.197)	(0.211)	(0.214)	(0.208)	(0.210)	(0.206)	(0.203)	(0.218)
state21	0.0366	-0.0402	0.0745	-0.3385	-0.1275	-0.4759*	-0.3243	-0.2684	-0.2176	-0.2127	-0.3437*	-0.2502	-0.2158	-0.1844	-0.2432	-0.3100	-0.3173	-0.5337***	-0.6036***
	(0.069)	(0.112)	(0.125)	(0.215)	(0.269)	(0.250)	(0.230)	(0.234)	(0.236)	(0.216)	(0.198)	(0.183)	(0.198)	(0.201)	(0.191)	(0.189)	(0.192)	(0.187)	(0.202)
state22	0.0139	-0.0109	0.0627	-0.2615	-0.0518	-0.3658	-0.2638	-0.2069	-0.1016	-0.0934	-0.2038	-0.1340	-0.0877	-0.0414	-0.0716	-0.1472	-0.1495	-0.3390*	-0.4070*
	(0.062)	(0.100)	(0.114)	(0.201)	(0.248)	(0.239)	(0.229)	(0.223)	(0.227)	(0.209)	(0.193)	(0.184)	(0.193)	(0.199)	(0.192)	(0.193)	(0.194)	(0.194)	(0.211)
state23	0.0552	-0.0467	-0.0177	-0.3747*	-0.2974	-0.6690**	-0.5745**	-0.4530*	-0.4405*	-0.4428**	-0.6796***	-0.6125***	-0.5976***	-0.5957***	-0.6404***	-0.7260***	-0.7122***	-0.9152***	-0.9883***
	(0.065)	(0.108)	(0.120)	(0.222)	(0.268)	(0.261)	(0.244)	(0.247)	(0.249)	(0.222)	(0.203)	(0.188)	(0.197)	(0.201)	(0.192)	(0.192)	(0.195)	(0.190)	(0.207)
state24	0.0655***	0.0596**	0.0010	-0.0513	-0.0098	-0.1945**	-0.1445*	-0.1335*	-0.1217	-0.1836***	-0.1982***	-0.1261**	-0.1553***	-0.1743***	-0.1562***	-0.1700***	-0.2047***	-0.3827***	-0.4945***
	(0.017)	(0.026)	(0.031)	(0.066)	(0.073)	(0.080)	(0.077)	(0.079)	(0.080)	(0.066)	(0.058)	(0.055)	(0.056)	(0.054)	(0.052)	(0.051)	(0.054)	(0.053)	(0.055)
state25	0.1086	0.0908	0.2089	-0.2877	-0.0082	-0.4656	-0.2632	-0.1543	0.0237	0.0771	0.0171	0.1951	0.3190	0.3038	0.2090	0.1845	0.2761	0.1159	0.1312
	(0.081)	(0.132)	(0.151)	(0.258)	(0.327)	(0.303)	(0.279)	(0.285)	(0.288)	(0.266)	(0.243)	(0.225)	(0.244)	(0.250)	(0.235)	(0.234)	(0.238)	(0.230)	(0.249)
state26	-0.0016	-0.0287	0.0770	-0.0833	0.1365	-0.1434	-0.0909	0.0147	0.1618	0.1667	0.0074	0.1047	0.1690	0.2303	0.2057	0.1682	0.1783	0.0035	-0.0492
	(0.100)	(0.145)	(0.161)	(0.187)	(0.236)	(0.244)	(0.264)	(0.250)	(0.234)	(0.224)	(0.243)	(0.234)	(0.248)	(0.251)	(0.241)	(0.240)	(0.245)	(0.237)	(0.249)
state27	0.1576***	0.0429	-0.0192	-0.0253	0.1129	-0.0995	0.1178	0.1142	0.0100	-0.0230	-0.0599	-0.0009	-0.0032	0.0097	0.0219	-0.0308	0.0086	-0.1181	-0.2072
	(0.033)	(0.055)	(0.060)	(0.126)	(0.139)	(0.153)	(0.147)	(0.150)	(0.150)	(0.127)	(0.119)	(0.117)	(0.115)	(0.115)	(0.114)	(0.117)	(0.120)	(0.119)	(0.126)
Constant	-0.0213	0.0655	0.0768	0.5269**	0.4413	0.8569***	0.7883***	0.7578***	0.7203***	0.8413***	1.0809***	1.0495***	1.1214***	1.1081***	1.1836***	1.3114***	1.3551***	1.6007***	1.7287***
	(0.067)	(0.110)	(0.118)	(0.221)	(0.269)	(0.263)	(0.246)	(0.249)	(0.253)	(0.224)	(0.202)	(0.185)	(0.194)	(0.197)	(0.186)	(0.182)	(0.189)	(0.185)	(0.200)
																			
Observations	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405	405
R-squared	0.103	0.105	0.238	0.230	0.152	0.244	0.273	0.243	0.282	0.293	0.323	0.337	0.343	0.348	0.367	0.369	0.367	0.389	0.393
Robust standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
